한국철도공사_KTX 노선별 역정보_20251121,,,,,
고속철도명,철도운영기관,노선명,순번,역명,주소
KTX,한국철도공사,중앙선,14,영천,경북 영천시 금완로 98
KTX,한국철도공사,중앙선,15,경주,경북 경주시 건천읍 경주역로 80
KTX,한국철도공사,중앙선,16,북울산,울산 북구 오토밸리로 620
KTX,한국철도공사,중앙선,17,태화강,울산 남구 산업로 654
KTX,한국철도공사,중앙선,18,남창,울산 울주군 온양읍 남창역길 40
KTX,한국철도공사,중앙선,19,기장,부산 기장군 기장읍 차성로288번길 86
KTX,한국철도공사,중앙선,20,신해운대,부산 해운대구 장산로 427
KTX,한국철도공사,중앙선,21,센텀,부산 해운대구 해운대로 210
KTX,한국철도공사,중앙선,22,부전,부산 부산진구 부전로 181
KTX,한국철도공사,중부내륙선,1,판교,경기도 성남시 분당구 판교역로 160
KTX,한국철도공사,중부내륙선,2,부발,경기도 이천시 부발읍 신아로 87
KTX,한국철도공사,중부내륙선,3,가남,경기도 여주시 가남읍 태평리 514
KTX,한국철도공사,중부내륙선,4,감곡장호원,충북 음성군 감곡면 왕장리 312-2
KTX,한국철도공사,중부내륙선,5,앙성온천,충북 충주시 앙성면 돈산리 317
KTX,한국철도공사,중부내륙선,6,충주,충북 충주시 충원대로 539
KTX,한국철도공사,중부내륙선,7,살미,충북 충주시 살미면 중원대로 2437
KTX,한국철도공사,중부내륙선,8,수안보온천,충북 충주시 수안보면 수안보로 88
KTX,한국철도공사,중부내륙선,9,연풍,충북 괴산군 연풍면 원풍로 250
KTX,한국철도공사,중부내륙선,10,문경,경북 문경시 문경읍 오서길 7
